data_type,thread,iteration,buffer_size,latency,correct
uint64_t,4,256,32,36.965667,True
uint64_t,4,256,64,73.686333,True
uint64_t,2,8192,64,2354.109,True
uint64_t,4,512,8,18.717333,True
uint64_t,4,512,16,37.082333,True
uint64_t,4,256,128,147.125,True
uint64_t,4,512,32,73.804,True
uint64_t,4,1024,8,37.307333,True
uint64_t,4,512,64,147.265333,True
uint64_t,4,1024,16,74.043,True
uint64_t,4,512,128,294.141,True
uint64_t,4,1024,32,147.502333,True
uint64_t,4,2048,8,74.493,True
uint64_t,4,1024,64,294.397,True
uint64_t,4,2048,16,147.971333,True
uint64_t,2,16384,32,2357.865333,True
uint64_t,4,1024,128,588.177333,True
uint64_t,4,2048,32,294.839333,True
uint64_t,4,4096,8,148.875,True
uint64_t,4,4096,16,295.820333,True
uint64_t,4,2048,64,588.641,True
uint64_t,4,4096,32,589.597667,True
uint64_t,4,2048,128,1176.321333,True
uint64_t,4,8192,8,297.618667,True
uint64_t,4,4096,64,1177.187667,True
uint64_t,2,8192,128,4704.817,True
uint64_t,4,8192,16,591.641333,True
uint64_t,2,16384,64,4708.517333,True
uint64_t,4,8192,32,1179.066,True
uint64_t,4,16384,8,595.131,True
uint64_t,1,16384,128,9407.673,True
uint64_t,4,4096,128,2352.476667,True
uint64_t,8,128,8,4.782,True
uint64_t,8,128,16,9.387,True
uint64_t,8,128,32,18.555333,True
uint64_t,8,128,64,36.919667,True
uint64_t,8,128,128,73.638,True
uint64_t,8,256,8,9.429667,True
uint64_t,8,256,16,18.607667,True
uint64_t,8,256,32,36.973667,True
uint64_t,4,16384,16,1183.218,True
uint64_t,4,16384,128,NA,False
uint64_t,8,256,64,73.688667,True
uint64_t,8,512,8,18.727667,True
uint64_t,8,512,16,37.104667,True
uint64_t,8,256,128,147.159333,True
uint64_t,8,512,32,73.817333,True
uint64_t,8,1024,8,37.314333,True
uint64_t,8,512,64,147.259,True
uint64_t,8,1024,16,74.076,True
uint64_t,4,8192,64,2354.026333,True
uint64_t,8,512,128,294.215,True
uint64_t,8,1024,32,147.507667,True
uint64_t,8,2048,8,74.495333,True
uint64_t,8,1024,64,294.448333,True
uint64_t,8,2048,16,147.996333,True
uint64_t,8,2048,32,294.919,True
uint64_t,8,1024,128,588.253667,True
uint64_t,8,4096,8,148.883,True
uint64_t,4,16384,32,2357.658333,True
uint64_t,8,2048,64,588.759333,True
uint64_t,8,4096,16,295.916333,True
uint64_t,8,8192,8,297.610333,True
uint64_t,8,4096,32,589.505,True
uint64_t,8,2048,128,1176.452667,True
uint64_t,8,8192,16,591.568667,True
uint64_t,8,4096,64,1177.042,True
uint64_t,4,8192,128,4703.609333,True
uint64_t,8,8192,128,NA,False
uint64_t,8,8192,32,1179.024667,True
uint64_t,8,16384,8,595.196,True
