data_type,thread,iteration,buffer_size,latency,correct
uint64_t,4,8192,32,80.747333,True
uint64_t,4,16384,8,57.626667,True
uint64_t,4,16384,64,NA,False
uint64_t,4,16384,256,NA,False
uint64_t,8,256,8,1.161,True
uint64_t,4,4096,128,148.893333,True
uint64_t,8,256,16,1.623667,True
uint64_t,4,16384,128,NA,False
uint64_t,4,16384,16,90.019,True
uint64_t,8,256,32,2.740667,True
uint64_t,8,256,64,5.058,True
uint64_t,8,512,8,2.256667,True
uint64_t,8,256,128,9.43,True
uint64_t,8,512,16,3.181333,True
uint64_t,4,8192,64,153.664333,True
uint64_t,8,512,32,5.409333,True
uint64_t,8,256,256,18.555,True
uint64_t,8,512,64,10.043667,True
uint64_t,8,1024,8,4.462,True
uint64_t,8,1024,16,6.298667,True
uint64_t,8,1024,32,10.750333,True
uint64_t,8,512,128,18.732333,True
uint64_t,4,16384,32,161.435,True
uint64_t,8,2048,8,8.856,True
uint64_t,8,1024,64,20.04,True
uint64_t,8,512,256,36.946667,True
uint64_t,8,2048,16,12.534667,True
uint64_t,8,2048,32,21.422,True
uint64_t,8,1024,128,37.354667,True
uint64_t,8,2048,256,NA,False
uint64_t,8,4096,8,17.659667,True
uint64_t,8,4096,16,24.995667,True
uint64_t,8,2048,64,40.032333,True
uint64_t,8,4096,128,NA,False
uint64_t,8,1024,256,73.713667,True
uint64_t,8,4096,256,NA,False
uint64_t,8,4096,32,42.793,True
uint64_t,8,8192,8,35.246,True
uint64_t,8,8192,64,NA,False
uint64_t,8,8192,256,NA,False
uint64_t,8,2048,128,74.592333,True
uint64_t,8,8192,16,49.912667,True
uint64_t,8,8192,128,NA,False
uint64_t,8,16384,32,NA,False
uint64_t,8,16384,128,NA,False
uint64_t,8,4096,64,79.926333,True
uint64_t,16,256,8,2.296667,True
uint64_t,8,16384,64,NA,False
uint64_t,8,16384,256,NA,False
uint64_t,16,256,16,3.093333,True
uint64_t,16,256,32,4.738333,True
uint64_t,16,256,256,NA,False
uint64_t,8,8192,32,85.538667,True
uint64_t,8,16384,8,70.409,True
uint64_t,16,512,8,4.49,True
uint64_t,16,256,64,8.006,True
uint64_t,16,512,16,6.105667,True
uint64_t,16,256,128,14.595667,True
uint64_t,16,512,32,9.391667,True
uint64_t,16,512,256,NA,False
uint64_t,16,1024,8,8.904333,True
uint64_t,16,512,64,15.876667,True
uint64_t,16,1024,16,12.118667,True
uint64_t,8,16384,16,99.756667,True
uint64_t,16,1024,32,18.699667,True
uint64_t,16,1024,256,NA,False
